,Anxiety spectrum,Appetite disturbance,Concentration problems,Disorganized behaviors,Disorganized speech,Fatigue/Low energy,Functional impairment,Hallucination/Delusions,Insomnia/Hypersomnia,Isolation/Withdrawal,Low mood/Anhedonia,Non-Clinical,Over talkative,Psychomotor disturbance,Suicidal behaviour
Anxiety spectrum,39,0,2,1,0,2,1,2,2,1,1,2,0,1,1
Appetite disturbance,0,25,0,1,1,0,2,1,1,0,2,0,1,0,0
Concentration problems,1,0,18,1,2,0,4,1,1,0,2,3,0,0,0
Disorganized behaviors,3,3,1,58,6,1,8,7,2,1,0,6,6,2,0
Disorganized speech,0,0,0,0,26,0,3,0,0,0,2,0,1,0,0
Fatigue/Low energy,1,0,2,1,1,12,1,2,3,0,1,2,0,0,0
Functional impairment,6,3,5,17,2,3,36,3,2,6,3,5,0,1,5
Hallucination/Delusions,3,1,2,3,0,0,2,46,0,1,0,1,1,0,2
Insomnia/Hypersomnia,2,4,1,10,0,2,2,0,102,0,1,3,0,2,1
Isolation/Withdrawal,0,0,0,3,0,0,3,0,0,10,6,1,0,0,1
Low mood/Anhedonia,3,2,2,2,1,1,2,2,0,4,18,2,1,2,7
Non-Clinical,3,8,4,8,5,1,21,3,8,3,5,214,4,3,10
Over talkative,0,0,0,3,0,1,0,1,0,0,0,4,16,1,0
Psychomotor disturbance,2,0,0,1,0,1,2,0,1,1,2,3,0,1,0
Suicidal behaviour,2,0,1,3,1,2,5,2,0,3,4,3,1,3,25
